,segmentID,idno,filename,id,corpus,sender,receiver,date,year,month,year_range,sender_norm,receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
13,ub1278,ub1278,GoldschmidtCaroline_OsmundEmanuel_1806-11-22.xml,JP-UB1278,letters-context,Goldschmidt Caroline,Osmund Emanuel,1806-11-22,1806,11,1804,GoldschmidtCaroline,OsmundEmanuel,0.0368042117244184,0.001402932868531221,0.0005374652674616201,0.0005081101169899936,0.020605128772211316,0.0003723291238929627,0.0722075192486486,0.0007656778739773626,0.00034097917375254647,0.00043270753350094384,0.00040390458539189177,0.85880649236887,0.0009852556029615199,0.0003571194386736834,0.0005043561177102741,0.002148966652004098,0.0008540503764742036,0.0005547820874615799,0.0008809336139208193,0.0005270774531471328
14,ub0723,ub0723,RichterCaroline_JungFranz_1826-06-14.xml,JP-UB0723,letters-context,Richter Caroline,Jung Franz Wilhelm,1826-06-14,1826,6,1824,RichterCaroline,JungFranzWilhelm,0.00022853240191620934,0.05932525696164542,0.00011110149307381079,0.00010503337808247884,0.07805342887435314,7.696557170054893e-05,0.00016747855944240759,0.00015827619041176597,7.04851040698876e-05,8.944662278046423e-05,8.349265564328231e-05,0.5575665925736583,0.0002036659393179844,7.382151972296644e-05,0.00010425737458937008,0.0004442210837754883,0.29904250403477,0.003804384329128014,0.00018210114351714836,0.00010895418840133636
15,ub0318,ub0318,MayerJohann_RichterCaroline_1811-12-14.xml,JP-UB0318,letters-context,Mayer Johann Siegfried Wilhelm,Richter Caroline,1811-12-14,1811,12,1809,MayerJohannSiegfriedWilhelm,RichterCaroline,0.000455343544563517,0.4343231904724047,0.00022136619244511534,0.00020927566626237657,0.0011350323460352064,0.00015335145447049073,0.00033369570465923755,0.00031536027695769776,0.0001404393287647609,0.0001782195519085541,0.00016635646169584488,0.5522108665414475,0.0004057979084730018,0.00014708703087120946,0.00020772950397561534,0.0008850963852834344,0.007703374652015772,0.0002284984831078274,0.0003628307384988229,0.0002170877561593899
16,ub0405,ub0405,RichterCaroline_RichterOdilie_1822-12-15a.xml,JP-UB0405,letters-context,Richter Caroline,Richter Odilie Minna,1822-12-15a,1822,12,1819,RichterCaroline,RichterOdilieMinna,0.0009241079586359688,0.016092600226628367,0.0004492569679615543,0.00042471955746575904,0.0023035188195889233,0.00031122281459030086,0.000677226810657516,0.0006400155338835597,0.0002850179890908839,0.00036169197580500096,0.00033761614073394544,0.5239010699626316,0.0008235563703383557,0.00029850932875421187,0.000421581661054142,0.44939374208996974,0.0007138844235150941,0.000463731767579138,0.0007363556090510407,0.00044057399206487
17,ub0314,ub0314,MayerTherese_RichterCaroline_1824-05-22.xml,JP-UB0314,letters-context,Mayer Therese Apollonia,Richter Caroline,1824-05-22,1824,5,1824,MayerThereseApollonia,RichterCaroline,0.0007739864065112936,0.000982181908997475,0.00037627506936091504,0.0003557237668888904,0.0019293116533012108,0.00026066459620652146,0.0005672111582586183,0.0005360448620236161,0.0002387167506847852,0.00030293503048117384,0.00028277032039912873,0.8261745417641111,0.13814765792619546,0.0002500164190919869,0.0003530956224768273,0.02649681746262081,0.0005979137334088184,0.0003883984344247993,0.0006167344696447534,0.0003690026449116996
18,ub1005,ub1005,Uthe-SpazierWilhelmine_SchragJohann_1821-01-10.xml,JP-UB1005,letters-context,Uthe-Spazier Wilhelmine,Schrag Johann Leonhard,1821-01-10,1821,1,1819,UtheSpazierWilhelmine,SchragJohannLeonhard,0.00035797172556452687,0.012013319036335693,0.00017402868413823156,0.00016452362675399462,0.3476639965646611,0.00012055839031879375,0.006041865408686093,0.00024792283510962753,0.00011040742633836246,0.011699164711219323,0.00013078237379900707,0.24340026828227146,0.0003190210540171458,0.00011563356695789278,0.00016330809973400518,0.0006958251283315155,0.02339464958997708,0.3527308462435629,0.00028524209269899405,0.0001706651595243334
19,ub0092,ub0092,MayerJohann_RichterCaroline_1811-07-20.xml,JP-UB0092,letters-context,Mayer Johann Siegfried Wilhelm,Richter Caroline,1811-07-20,1811,7,1809,MayerJohannSiegfriedWilhelm,RichterCaroline,0.000711729176644569,0.5984359965947301,0.000346008590144683,0.0003271103750541649,0.001774123399252241,0.00023969748935861904,0.0005215863318203226,0.0004929269623898144,0.00021951506510556516,0.0002785678120537085,0.0002600250929784982,0.3805159296405241,0.000634286386026254,0.00022990582083997734,0.00032469363098377215,0.0013834585535910456,0.0005498192805500252,0.01184817252829885,0.0005671261311514782,0.00033932113850224327
20,ub0603,ub0603,RichterCaroline_MayerJohann_1805-02-25.xml,JP-UB0603,letters-context,Richter Caroline,Mayer Johann Siegfried Wilhelm,1805-02-25,1805,2,1804,RichterCaroline,MayerJohannSiegfriedWilhelm,0.0004021300406321556,0.0005102994673428542,0.00019549633902874507,0.00018481876636261787,0.0010023873378230794,0.00013543011063510638,0.00029469851692314185,0.00027850585014514684,0.0001240269542783606,0.00015739200984858664,0.00014691529395743992,0.7798383050947165,0.21460999115278007,0.00012989777588128703,0.00018345329558649168,0.000781660022694695,0.0003106502541743331,0.0002017951179798029,0.00032042869907157324,0.00019171790013801683
21,ub0462,ub0462,RichterMax_RichterCaroline+RichterOdilie+RichterEmma_1820-06-27.xml,JP-UB0462,letters-context,Richter Max,Richter Caroline + Richter Odilie Minna + Richter Emma,1820-06-27,1820,6,1819,RichterMax,RichterCarolineANDRichterOdilieMinnaANDRichterEmma,0.0007284709182216497,0.0009244231566457668,0.00035414762194180884,0.376696873511001,0.0018158554462875504,0.00024533580454254343,0.0005338554137464583,0.0005045219005931511,0.00022467863660561156,0.00028512045942877175,0.0002661415668467269,0.2600922036974434,0.0006492064695484378,0.00023531381023520728,0.00033233127889822466,0.31897149655116497,0.03584669641064954,0.0003655580534503306,0.0005804664288952214,0.0003473028638534893
22,ub0993,ub0993,RichterMax_OsmundEmanuel+OttoGeorg_1819-10-24.xml,JP-UB0993,letters-context,Richter Max,Osmund Emanuel + Otto Georg Christian,1819-10-24,1819,10,1819,RichterMax,OsmundEmanuelANDOttoGeorgChristian,0.002379982751940473,0.0030201770767764127,0.0011570334666479909,0.1932204241431795,0.005932569899607973,0.11607748621643538,0.001744155662175692,0.001648320325977071,0.000734046159531321,0.0009315152584572364,0.0008695094379552103,0.5807683823264668,0.0021210183705690873,0.0007687922683590017,0.0010857574296019266,0.08147684250244322,0.0018385650712853426,0.0011943124156124534,0.0018964382163994128,0.0011346710005784135
