receiver,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Boie Heinrich,0.00011479585871628492,3.441111833834903e-05,4.916312650215409e-05,9.88383068955243e-05,0.00031424329008974635,3.262023483098121e-05,2.55286800121399e-05,0.3074864625615458,4.25794509369551e-05,2.0468468631129587e-05,1.4434580383688828e-05,2.0089263407337605e-05,3.144716026527106e-05,3.733608150983968e-05,7.010041601677475e-05,2.0588184563484274e-05,2.9546254799603747e-05,0.01420889335364568,0.00013591173085763508,0.00014809995165800582,0.000170859804417999,1.635891989809073e-05,6.213690577915273e-05,2.6967767522408223e-05,0.06644122973600701,4.0788173417147934e-05,0.00011212202753058528,0.003613015588253304,1.812671904095744e-05,9.03677978890784e-05,0.026361618244107828,2.395017238685115e-05,0.00016968883629964982,6.70883386239662e-05,0.003904831129608761,0.06320672642113469,2.2420297518794e-05,6.344282681897165e-05,3.963733707013762e-05,3.097011295940522e-05,3.213395584676703e-05,0.0002736026411567782,2.591381620645115e-05,9.490833277487822e-05,2.649315392590207e-05,3.932687648153168e-05,4.342865087798324e-05,4.78578181313528e-05,4.1128135581636375e-05,0.0005676866606640611,2.083909307554714e-05,2.606350839702445e-05,3.0478915035447937e-05,2.7326074612750808e-05,0.14326201290966287,0.0314692115106428,0.12628655564169675,3.1496796215872915e-05,0.21019721258318447,3.841769593795816e-05
Boie Sara Henriette,0.00014653837134759594,4.392622951681204e-05,6.275735526127906e-05,0.0001261683538168381,0.0004011355501113484,4.1640143978730496e-05,3.2587684202777075e-05,4.0737873302711504e-05,5.435320980173243e-05,2.612826011954027e-05,1.8425925152399707e-05,2.564419983616096e-05,4.014269939971218e-05,4.7659982146872164e-05,8.948407119175858e-05,2.628107902736317e-05,3.7716169434784836e-05,0.0002983038791478268,0.018013021963860402,0.0849268138084487,0.00021810470994482428,2.088236897810608e-05,7.931854925150161e-05,3.442469768339902e-05,7.531109986297917e-05,5.206662130176883e-05,0.06704135861785496,0.0001521780486598773,2.313898703177297e-05,0.004575237869908135,0.055950351574657185,3.057269917495254e-05,0.00021660995427261027,8.56391161519958e-05,0.0005246842927207469,0.00040630877458360914,2.8619794479280712e-05,8.098557404162563e-05,5.059756409130533e-05,3.95337424561511e-05,4.101940268053243e-05,0.00034925724568692453,3.307931544533666e-05,0.00012115169194839055,3.3818847400739206e-05,5.020125720767142e-05,5.543722430973214e-05,6.109111255093579e-05,5.25005873216325e-05,0.0007246592309141013,2.660136692908802e-05,0.5931976067763494,3.8906722068909476e-05,3.4882081234062326e-05,2.0607278928246688e-05,0.017871436952449922,0.0006506316612752,4.020606032094072e-05,0.15236247304206724,4.904067669887919e-05
Bornträger Johann Friedrich Wilhelm,0.0007223764782238522,0.00021653901765251107,0.0003093690537118806,0.0006219603115235773,0.01050435914874452,0.01242949387711108,0.00016064445326769607,0.00020082167678073498,0.00026793992532920136,0.00012880203562860108,9.083255666895442e-05,0.00012641580900727374,0.00019788770376038826,0.004612417277512138,0.00691344564063819,0.0001295553726789854,0.00018592586636415444,0.0035225309129404696,0.008750186499688102,0.003120685476278877,0.0010751703516634025,0.0007801442117000659,0.00039100921990057935,0.0043248794923817216,0.32496466702431576,0.0012826730601188604,0.000705550847256933,0.0007501778670184712,0.00011406609619012783,0.0005686578968435975,0.17687083257134617,0.010308746681561088,0.0014062508979555647,0.00042216712629717014,0.0842700176937961,0.006191939774541646,0.00014108431909887212,0.013937191126490766,0.00024942607058381523,0.0001948857857764892,0.006459729650684473,0.014638147697828114,0.0010095709443350748,0.0005972301435843354,0.00016671360312164852,0.0022212059503011867,0.0002732836900744429,0.00030115513315377083,0.0002588072258843684,0.007767820603196957,0.0001311342659363486,0.00016400997053850545,0.0001917948221268677,0.00017195492732213758,0.000101585771979495,0.00015729406929740895,0.00559994916933148,0.00019820004815669323,0.27718693387610877,0.00024175122868957735
Breitenbauch Georg August von,0.0008169082792472308,0.0002448757976385584,0.00034985377976523883,0.10015347314992597,0.0022362125972388105,0.00023213154378919415,0.00018166674558976886,0.0002271016503996085,0.00030300314301551966,0.0001456573579854233,0.00010271910811728873,0.00014295886441332453,0.00022378373111006802,0.0002656903693313349,0.0004988473527107714,0.0001465092784065253,0.00021025654092799185,0.0016629563053446805,0.0009671726787533764,0.0010539062821468906,0.0012158695477385336,0.00011641305926654306,0.00044217756063175936,0.00019190755492597448,0.0004198372100871037,0.0002902560853017353,0.0007978808085933819,0.0008483478199376151,0.00012899304056554706,0.0006430737406248972,0.013556373035350256,0.0001704337972728768,0.001207536724923225,0.0004774128603219823,0.002924960464435975,0.0022650518006701753,0.00015954692853123586,0.00045147073306324784,0.00028206652384503796,0.00022038897542713413,0.02509120152416424,0.001947006323087632,0.0001844074450304012,0.0006753850154557075,0.0001885301179629616,0.0002798572296418476,0.00030904620476286595,0.00034056496719828323,0.0002926753181025264,0.6753280834919548,0.00014829478916562278,0.00018547268197523039,0.0002168935213635736,0.0001944573335668334,0.00011487951322531126,0.00017787792288237084,0.0036270799651193907,0.00022413694959241045,0.15322507952339498,0.0002733873349811758
Brentano Clemens,0.01226362725442337,0.0001169443592528642,0.00016707827601332637,0.00033589673999794776,0.0010679391424516095,0.00011085813670681429,8.675786404953953e-05,0.00010845603055656285,0.00014470400404312706,6.956100424923426e-05,4.905515529767699e-05,6.827229542304448e-05,0.00010687150505788228,0.00012688469134451252,0.00023823254315175665,6.996785249124492e-05,0.00010041137872612656,0.0007941714186107139,0.0004618888036074339,0.0005033098250899973,0.0005806579766826385,5.5594921000261106e-05,0.00021116897628405425,9.16485265715296e-05,0.00020049998406382119,0.00013861644246671479,0.00038104075952346335,0.00040514208910348825,6.160269255879013e-05,0.00030711016472409236,0.07771506079994503,8.139338966657735e-05,0.0005766785036832602,0.0002279961580026731,0.037017360582465235,0.0010817117659577592,7.619419112781263e-05,0.00021560707962422557,0.00013470538622370852,0.0001052502851088749,0.00010920554338892475,0.0009298240541143037,8.80667289642442e-05,0.00032254093153800847,9.003557745460844e-05,0.00013365030239147728,0.012021089586502966,0.00016264225479629317,0.0001397717858387438,0.6312247329267111,7.082055175215737e-05,8.857544992877743e-05,0.00010358097503534831,9.286621420039035e-05,5.486255152599674e-05,8.494845108136471e-05,0.001732170131022366,0.00010704019020150258,0.2156570863376525,0.00013056050057021863
Brockhaus Friedrich Arnold,0.0008377365291970205,0.00025111925782795685,0.00035877380439461814,0.0007212843833940537,0.002293228049400807,0.0002380500709214289,0.0001862986002065384,0.00023289193317516278,0.00031072864336681335,0.00014937110154295222,0.00010533807931985488,0.0001466038060012377,0.0002294894187676251,0.00027246452692315706,0.000511566182490077,0.00015024474289885046,0.00021561733344200803,0.001705355764945231,0.026488268490512185,0.0010807771365938998,0.001246869888278566,0.00011938117742303621,0.0004534515126640651,0.00019680051368620947,0.0004305415627935967,0.0002976565811073145,0.0008182239258486473,0.0008699776661356513,0.00013228190341457876,0.0006594698293243829,0.11588775765809445,0.00017477925173780453,0.0012383246081766885,0.0004895851869302929,0.2834603364389749,0.02781923890485756,0.0001636148066401859,0.0004629816278749901,0.0002892582150181603,0.0002260081089124801,0.00023450139178776908,0.001996648045887233,0.00018910917771602733,0.0006926049265174693,0.00019333696411662576,0.00028699259168592846,0.0003169257816533908,0.00034924816020923463,0.0003001374957232392,0.004142761403540882,0.00015207577781937862,0.00019020157440682351,0.00022242353322685576,0.0001994153025959047,0.00011780853142276648,0.00018241317602212052,0.003719557578604954,0.00022985164306252203,0.514081881983018,0.0002803577377678167
Böckh Philipp August,0.00045530901538904533,0.00013648308035041514,0.00019499322511681695,0.4028965755974079,0.0012463672871422108,0.00012937998956356563,0.00010125311392318127,0.004495589118001706,0.00016888072530408258,8.118305314474827e-05,5.725114699733552e-05,0.00444869160207151,0.00012472728317272392,0.00014808421401981032,0.0002780357388487602,8.165787639966644e-05,0.00011718781785054968,0.004645925872630277,0.0005390598323720907,0.017707143220756744,0.0006776726110947078,0.0037839501765615795,0.00024645047047864004,0.00010696089401809154,0.00023399893428010079,0.00016177607176559884,0.0004447039338286883,0.00419189866193775,7.18950900412698e-05,0.00035842123174009303,0.02066276828505675,9.499235886902387e-05,0.0006730282593996244,0.00026608908844402126,0.004075922692411029,0.07101479766578116,0.0038079911124215067,0.00025163007912885557,0.00015721156769819857,0.00012283519454203047,0.0001274512857933874,0.0010851763342858546,0.00010278066015510525,0.0003764301258875946,0.00010507845808588998,0.00015598020354886435,0.0001722488641319261,0.00018981604646477638,0.00016312444652505178,0.22549521923887073,8.265304215614566e-05,0.00010337437672871272,0.0001208869810296348,0.00010838202933024591,6.402882598177144e-05,9.914138953476074e-05,0.012682140841388963,0.00012492415173618213,0.1755584157710901,0.03362397373731245
Börne Carl Ludwig,0.00031829204672325284,9.541097918016979e-05,0.00013631355985026456,0.0002740468806822435,0.0008712957165024045,9.044543440026774e-05,7.078283051385295e-05,8.848563658398628e-05,0.017179824037225615,5.6752489564928223e-05,4.0022455385525774e-05,5.5701075270383e-05,8.719287539113419e-05,0.00010352096263126989,0.0001943659391518232,5.70844233956488e-05,8.19222750571098e-05,0.0006479378156471185,0.0545943271414624,0.0992353595599928,0.00047373936184707307,4.535803081027342e-05,0.00017228568293893326,7.477295798168464e-05,0.00016358121013578593,0.00011309250476650937,0.00031087837161157333,0.00033054183780579973,5.025957006152198e-05,0.004516002103520771,0.2030083635854623,6.640613584524864e-05,0.0004704926433399344,0.0001860144159438709,0.001139652610287924,0.0008825323379435483,0.004327605507995162,0.00017590658255387692,0.0001099016051954828,8.587017642737521e-05,8.909713895742806e-05,0.06047478938298183,7.185068948477191e-05,0.0002631503246529762,7.345700691233481e-05,0.00010904079769528792,0.0001204137007115044,0.00013269435896973316,0.00011403511066147398,0.1479612292041279,0.08963204581196278,7.226573785192442e-05,8.450824234446569e-05,7.576642846412127e-05,4.4760515127536294e-05,6.930659117971314e-05,0.005678660718640319,8.73304999403539e-05,0.3037567364401932,0.00010651993205352129
Böttiger Carl August,0.0008142900337126594,0.002316383217587976,0.010379330634567929,0.02822564198853919,0.011331439186255017,9.406693753769361e-05,7.36170282208081e-05,9.202866794461716e-05,0.00012278631875058655,5.902490188047465e-05,0.0004129156029794995,5.793138816773681e-05,9.068414362246059e-05,0.0037406417863981496,0.0004605926416574115,0.008671231819587271,8.520250449170366e-05,0.0015709124053068454,0.0029569413077425405,0.023883408097016914,0.000677711574881656,4.717420043758605e-05,0.16953599639614983,0.007519182175092559,0.0006533844590070059,0.00011762081361423656,0.003983516721349262,0.0014229284118060393,5.227200100256833e-05,0.0006722333802630142,0.05912724396034793,0.0029505440702772066,0.0037701398696588506,0.0001934625728952313,0.011943295308615341,0.01471273120089566,6.465338883072237e-05,0.00018295001426313785,0.0009580567995157848,0.001344195215886858,9.266465533246179e-05,0.003524223860812039,0.007816394781843946,0.019908947386202618,0.008979279373544482,0.00011340687314817702,0.0017889581312908562,0.0021900177725028254,0.00011860116215733599,0.31260301076470715,6.009367120858065e-05,0.003025614078740283,0.004785261466434704,0.005639072104388955,4.655275977804891e-05,7.2081679154755e-05,0.0021352950552626046,0.0009141069881526956,0.25037452462331794,0.0004435296652616379
Calmberg Johann Erhart Wilhelm,0.00036617866555786456,0.03146150608397396,0.00015682175523164092,0.10341698585279946,0.02816587770558115,0.00010405283077427236,0.002171548057304008,0.0001017981839600743,0.00013582098429887828,6.529082680485918e-05,4.604378103787017e-05,6.408122861574771e-05,0.00010031092854996608,0.00011909555499055033,0.00022360803847040075,6.567269964283322e-05,9.424737334376279e-05,0.0007454192058541513,0.0004335345960703056,0.031824153532578454,0.0005450128243205093,5.218208675154134e-05,0.00019820583681802404,8.602245093907114e-05,0.0001881917875564898,0.00013010712302215834,0.0003576496127988594,0.0003802714215602467,5.782105612158741e-05,0.000288257433765172,0.11476267065238371,7.639685144194014e-05,0.0005412776412940238,0.00021400003960537567,0.001311111843135734,0.28520699512585146,7.151681880034268e-05,0.0002023714960067121,0.00012643615681713846,9.878923127078413e-05,0.00010250168605947506,0.0008727444626683534,8.26605309991372e-05,0.00030274094409380055,8.450851676611663e-05,0.00012544584196331609,0.00013852978324576385,0.00015265805034971806,0.0001311915427314112,0.0018108209318832952,6.647305381197935e-05,8.313802284598193e-05,9.722239600049788e-05,8.716538774592786e-05,5.149467562202348e-05,7.973367645789116e-05,0.026707229023834177,0.00010046925853118954,0.3640433911232799,0.00012254571540892757
