year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1808,0.0017205931116230984,0.0057968748452939395,0.04191203333404709,0.011293879292510136,0.015128424151568048,0.005105417726563655,0.2248356918467639,0.35697331306709584,0.0025551944205119124,0.007522983317133609,0.001024499451754779,0.015476937942964003,0.10297004829498847,0.016626768435836846,0.05777953362796149,0.025349349297177613,0.01869737953474569,0.004590237110495069,0.07413817320349135,0.010502667987473418
1809,0.0043508135435645495,0.006865853473200634,0.057217404265701564,0.0015443857691030142,0.006652197891825899,0.004502570409951949,0.15043027443549523,0.34052518610676696,0.008697628048190697,0.003054482792862593,0.006447195491093874,0.009538863335931763,0.08199279881964769,0.006478581878768326,0.053075262987726246,0.05493437845339094,0.01607529663358159,0.007226792208994826,0.16463551650620298,0.015754516947998756
1810,0.0015528130030148487,0.0008074573242800524,0.05003280822758871,0.005549905971851778,0.007787241761758542,0.005662232061467242,0.20085066079564512,0.34537483109495953,0.00471613675189474,0.004079408434381789,0.008313291002994983,0.006877788998929455,0.07795928569745096,0.006589309905853631,0.09701451573097691,0.031892494764738454,0.04706745852945463,0.003453251326620924,0.07507982258356832,0.019339286032569306
1811,0.003919186592348418,0.015115253699614138,0.05515369392400875,0.013153091364910866,0.012327161355533973,0.012770279890607496,0.20478371330415165,0.3257594686720322,0.015182145347624885,0.0012744413080139731,0.0016756446742192035,0.01606775717996187,0.10029853669584524,0.006933342316840378,0.09261264183533213,0.01781390288971945,0.019871471704886724,0.004720746001091714,0.0646010541195152,0.015966467123741886
1812,0.0005115722697705391,0.001404590303276457,0.1418126586900364,0.01204516342159121,0.008424082839877726,0.008385189740968801,0.20448112537963872,0.39481568882982454,0.003067018583447887,0.0005754789491250967,0.004512055290298012,0.026929478945771062,0.03499682354488135,0.004984881109619102,0.05873923084389407,0.007600471985770084,0.04245377833613948,0.0007282793724974839,0.039889172229299184,0.003643259334272789
1813,0.0004768172635267039,0.006384803531149925,0.14296913307685896,0.012079691456307714,0.0015869292027960356,0.0024395084495686045,0.2373665202298354,0.37436889223176856,0.0003178533711077388,0.0005363822747119005,0.002110238723424124,0.0011522492214116387,0.001442205109126992,0.0254755960905312,0.09846519011880352,0.01778092408004924,0.005691702696121495,0.0076652697433687205,0.04054967588288187,0.02114041724664968
1814,0.0074801750982247004,0.0012545183006611156,0.1468094188039862,0.0042976467969201276,0.009701929246955818,0.0003171842974605787,0.2399299229046248,0.3544048139400995,0.007159620303802302,0.008508910888568338,0.0013076363226255522,0.001009758921333781,0.015493421316879833,0.011317954692279046,0.023107373061834358,0.013424028227864315,0.04058234349237014,0.001113500703931976,0.09627281863240574,0.01650702404717177
1815,0.021425438187100347,0.00022984874022445844,0.17932058045466268,0.015504172032361197,0.008702119079140341,0.002522953634284331,0.08729338557059531,0.3742282926064354,0.0033552581150198563,0.008517448901071097,0.0011602929860234266,0.0048877893161799486,0.018854777522013318,0.03272441269624804,0.07534401121540572,0.0015781381572386917,0.07009581312083153,0.007470812572818899,0.07424680836675623,0.012537646725589309
1816,0.0015105622070807777,0.010591272987320361,0.128311288394121,0.001491732847805753,0.018794442919499076,0.003251917488578347,0.1649389982617752,0.3648185289536369,0.0256978934590903,0.010944874955015005,0.005170940705309102,0.013200109217840242,0.00995085981669262,0.019384806548692016,0.03194384435645994,0.019877491212828377,0.04316859257686358,0.008755606198161322,0.10508063327899814,0.01311560361423183
1817,0.0028396161769460825,0.005530566441670068,0.1465706946161204,0.023568770129207238,0.011713988448833744,0.004028547419089475,0.12482618493885707,0.3703499288227122,0.003225516984289249,0.0121690307039461,0.0014647727747352172,0.006212810202909423,0.01721401315339238,0.03822436203599926,0.03268444289364099,0.009678489755520473,0.014345980379658556,0.007049415159459325,0.15315735148281887,0.015145517480193814
1818,0.0010640297498762516,0.008353131088010961,0.20453140876013556,0.0017455184295630324,0.00567821626218645,0.00259572157834446,0.14618425431269605,0.36172907477731975,0.004932274220557151,0.0021598222102864875,0.0024996358920911545,0.024749877027024646,0.013380642391382733,0.0823963632287052,0.05333409469861413,0.0015469386988988564,0.004425396346269549,0.01979324513578123,0.051404352799868755,0.0074960023923876925
1819,0.03265123128455414,0.005076910414723821,0.05403828966045151,0.0035385806729851896,0.09011574141170864,0.007472501435456352,0.16514145318840806,0.36848293934880394,0.00028850939837062127,0.011055314038922773,0.0007357474673654824,0.01401859991081204,0.007449594580659365,0.027900817639924153,0.052862962778236926,0.009909235644626624,0.031099609553968965,0.001066973496854532,0.10964914568867087,0.0074458423844959275
1820,0.040756290326597104,0.0013256490690473797,0.020267003178455735,0.010437789958512361,0.09483615425877527,0.002479958588555742,0.1680793041692227,0.42698964551368207,0.004170646098173621,0.009499408919780579,0.004136542626262735,0.01437679113324965,0.018498802825703407,0.04756564316719124,0.030522163744510226,0.005438744343443917,0.022471856783691218,0.005515584882523681,0.060651125052824086,0.011980895359797244
1821,0.09363629161600387,0.007720888100900972,0.01362339383793659,0.004597204717406607,0.07490403293514915,0.0035801178329669648,0.12402440227559255,0.39599620810003433,0.0006359800243743571,0.00848445779207787,0.002467668050212351,0.010677183286128048,0.009736894778006936,0.02657588066823021,0.06187399394796733,0.004678512037266018,0.014340292854949237,0.008053001078406829,0.1086979577570597,0.02569563830933015
1822,0.0017188787330081276,0.0019099731732707338,0.011070070252521236,0.0016483268441214538,0.2759200775536518,0.0033469230534640165,0.0799967645080467,0.48548368742952225,0.0023618343345753264,0.0007484374073986116,0.004609244441283982,0.035410054330238715,0.0037629430403602654,0.019767986050747248,0.023281723245431908,0.006528948365278605,0.003792683810159615,0.0031428244422896964,0.022444785330314087,0.013053833654315618
1823,0.008296857565596671,0.0077874541135059564,0.017580742784819574,0.0005742687634783337,0.19636913997562214,0.01270049022993836,0.1773598386088008,0.3645640427873431,0.003645296447295898,0.0014835911828304756,0.0033898692519395476,0.02517740087625708,0.005063449689883354,0.04655086626122073,0.04392520440700485,0.009013145731339892,0.008057475931877178,0.0018019247496200788,0.05142783788363752,0.015231102757988516
1824,0.00048795472074859245,0.0018065363764287728,0.025880484492143693,0.04341125963010015,0.04521145551332251,0.023882648997567504,0.23572732666594037,0.3188209719236492,0.00032527776320579724,0.01696741309047452,0.00033029547616133685,0.029423714311602154,0.0021690268720485576,0.0587472499418255,0.014825960932029902,0.003158064253651942,0.03138613784060914,0.0006946571947564058,0.1342697592218317,0.012473804781902258
1825,0.001932722990101672,0.019662540228563844,0.00967240203263011,0.0016134181356561048,0.004295095329587652,0.018660567335895436,0.29097674514194644,0.19296837847918805,0.010803037898772098,0.14736260238985835,0.010509210784523448,0.02573330899186018,0.016993034383064664,0.009953949809760295,0.060077047494494246,0.0017496678199506093,0.0035182146222982303,0.004204832173259592,0.1569892579756364,0.012323965982952647
1826,0.006099865509037159,0.018068564278775786,0.012422888273264427,0.016170183898000935,0.006184277151744144,0.005521464936840585,0.22913747600691275,0.24835077899956337,0.027632116685006834,0.14187500833281913,0.008791680377026474,0.020337553033075738,0.0130487794448311,0.007754319826424147,0.06297159930896541,0.010334748725460004,0.005291390509266645,0.002674336880295761,0.14685987437208028,0.010473093450609199
