idno,filename,id,corpus,sender,receiver,date,year,month,year_range,sender_norm,receiver_norm
ub1229,MerzdorfErnestine_MayerJohann_1801-08-30.xml,JP-UB1229,letters-context,Merzdorf Ernestine Amalie,Mayer Johann Siegfried Wilhelm,1801-08-30,1801,8,1799,MerzdorfErnestineAmalie,MayerJohannSiegfriedWilhelm
ub0518,RichterCaroline_MayerJohann_1801-09-08.xml,JP-UB0518,letters-context,Richter Caroline,Mayer Johann Siegfried Wilhelm,1801-09-08,1801,9,1799,RichterCaroline,MayerJohannSiegfriedWilhelm
ub0633,SpazierJohann_RochlitzFriedrich_1801-09-17.xml,JP-UB0633,letters-context,Spazier Johann Karl Gottlieb,Rochlitz Friedrich,1801-09-17,1801,9,1799,SpazierJohannKarlGottlieb,RochlitzFriedrich
ub0341,RichterCaroline_OsmundEmanuel_1801-09-30.xml,JP-UB0341,letters-context,Richter Caroline,Osmund Emanuel,1801-09-30,1801,9,1799,RichterCaroline,OsmundEmanuel
ub0698,OsmundEmanuel_GoldschmidtCaroline_1801-10-27.xml,JP-UB0698,letters-context,Osmund Emanuel,Goldschmidt Caroline,1801-10-27,1801,10,1799,OsmundEmanuel,GoldschmidtCaroline
ub0590,GoldschmidtCaroline_OsmundEmanuel_1801-10-28.xml,JP-UB0590,letters-context,Goldschmidt Caroline,Osmund Emanuel,1801-10-28,1801,10,1799,GoldschmidtCaroline,OsmundEmanuel
ub0501,RichterCaroline+RichterJohann_OsmundEmanuel_1801-11-02.xml,JP-UB0501,letters-context,Richter Caroline + Jean Paul,Osmund Emanuel,1801-11-02,1801,11,1799,RichterCarolineANDJeanPaul,OsmundEmanuel
ub0008,RichterCaroline+RichterJohann_MayerJohann_1801-11-23.xml,JP-UB0008,letters-context,Richter Caroline + Jean Paul,Mayer Johann Siegfried Wilhelm,1801-11-23,1801,11,1799,RichterCarolineANDJeanPaul,MayerJohannSiegfriedWilhelm
ub0481,RichterJohann+RichterCaroline_OttoAmoene_1801-11-27.xml,JP-UB0481,letters-context,Jean Paul + Richter Caroline,Otto Amöne,1801-11-27,1801,11,1799,JeanPaulANDRichterCaroline,OttoAmöne
ub0589,RichterCaroline+RichterJohann_OsmundEmanuel_1801-11-27.xml,JP-UB0589,letters-context,Richter Caroline + Jean Paul,Osmund Emanuel,1801-11-27,1801,11,1799,RichterCarolineANDJeanPaul,OsmundEmanuel
ub0783,MahlmannErnestine_MayerJohann_1801-12-24.xml,JP-UB0783,letters-context,Mahlmann Ernestine,Mayer Johann Siegfried Wilhelm,1801-12-24,1801,12,1799,MahlmannErnestine,MayerJohannSiegfriedWilhelm
ub0101,OsmundEmanuel_GoldschmidtCaroline_1801-12-28.xml,JP-UB0101,letters-context,Osmund Emanuel,Goldschmidt Caroline,1801-12-28,1801,12,1799,OsmundEmanuel,GoldschmidtCaroline
ub0566,RichterCaroline_MayerJohann_1802-01-04.xml,JP-UB0566,letters-context,Richter Caroline,Mayer Johann Siegfried Wilhelm,1802-01-04,1802,1,1799,RichterCaroline,MayerJohannSiegfriedWilhelm
ub0303,SpazierJohann_Unbekannt_1802-01-10.xml,JP-UB0303,letters-context,Spazier Johann Karl Gottlieb,Unbekannte Korrespondenten,1802-01-10,1802,1,1799,SpazierJohannKarlGottlieb,UnbekannteKorrespondenten
ub0416,RichterJohann+RichterCaroline_OsmundEmanuel_1802-01-13.xml,JP-UB0416,letters-context,Jean Paul + Richter Caroline,Osmund Emanuel,1802-01-13,1802,1,1799,JeanPaulANDRichterCaroline,OsmundEmanuel
ub0164,RichterCaroline_MayerJohann_1802-01-23.xml,JP-UB0164,letters-context,Richter Caroline,Mayer Johann Siegfried Wilhelm,1802-01-23,1802,1,1799,RichterCaroline,MayerJohannSiegfriedWilhelm
ub0635,ThieriotPaul+RichterJohann+RichterCaroline_OsmundEmanuel_1802-02-12.xml,JP-UB0635,letters-context,Thieriot Paul Emile + Jean Paul + Richter Caroline,Osmund Emanuel,1802-02-12,1802,2,1799,ThieriotPaulEmileANDJeanPaulANDRichterCaroline,OsmundEmanuel
ub0404,MayerJohann_Uthe-SpazierWilhelmine+MahlmannErnestine+RichterCaroline_1802-02-13.xml,JP-UB0404,letters-context,Mayer Johann Siegfried Wilhelm,Uthe-Spazier Wilhelmine + Mahlmann Ernestine + Richter Caroline,1802-02-13,1802,2,1799,MayerJohannSiegfriedWilhelm,UtheSpazierWilhelmineANDMahlmannErnestineANDRichterCaroline
ub0331,RichterCaroline+RichterJohann_OsmundEmanuel_1802-02-28.xml,JP-UB0331,letters-context,Richter Caroline + Jean Paul,Osmund Emanuel,1802-02-28,1802,2,1799,RichterCarolineANDJeanPaul,OsmundEmanuel
ub0041,RichterCaroline_MayerJohann_1802-03-09.xml,JP-UB0041,letters-context,Richter Caroline,Mayer Johann Siegfried Wilhelm,1802-03-09,1802,3,1799,RichterCaroline,MayerJohannSiegfriedWilhelm
ub0352,MahlmannErnestine_RichterCaroline_1802-03-11.xml,JP-UB0352,letters-context,Mahlmann Ernestine,Richter Caroline,1802-03-11,1802,3,1799,MahlmannErnestine,RichterCaroline
ub0065,MahlmannErnestine_RichterCaroline_1802-03-13.xml,JP-UB0065,letters-context,Mahlmann Ernestine,Richter Caroline,1802-03-13,1802,3,1799,MahlmannErnestine,RichterCaroline
ub0362,MahlmannErnestine_RichterCaroline_1802-03-14.xml,JP-UB0362,letters-context,Mahlmann Ernestine,Richter Caroline,1802-03-14,1802,3,1799,MahlmannErnestine,RichterCaroline
ub0030,OsmundEmanuel_RichterCaroline_1802-03-14.xml,JP-UB0030,letters-context,Osmund Emanuel,Richter Caroline,1802-03-14,1802,3,1799,OsmundEmanuel,RichterCaroline
